iter	Logloss
0	0.6598292397
1	0.6321758874
2	0.6057241463
3	0.5826572284
4	0.5619999185
5	0.542649585
6	0.5254438236
7	0.5114570622
8	0.4983628146
9	0.487195885
10	0.4775270703
11	0.4687939693
12	0.4598169065
13	0.4509899273
14	0.4418018884
15	0.4353868619
16	0.429129732
17	0.4222572851
18	0.4152289463
19	0.4107084336
20	0.4059859122
21	0.4028025753
22	0.3980213089
23	0.3941810141
24	0.390689699
25	0.3873224479
26	0.3845051375
27	0.3821494541
28	0.3800435236
29	0.3777272547
30	0.3754549722
31	0.3733101967
32	0.3717450735
33	0.3700073519
34	0.3684878915
35	0.3666399733
36	0.364684732
37	0.3631576154
38	0.3618264558
39	0.3607127729
40	0.3595997792
41	0.3584942899
42	0.3569348718
43	0.3557892405
44	0.3548071892
45	0.3540414661
46	0.3529666264
47	0.3521589663
48	0.3512709153
49	0.3504616368
50	0.3496591805
51	0.3483363438
52	0.3477013975
53	0.3469551054
54	0.3463031725
55	0.3457252031
56	0.3449993287
57	0.3443568579
58	0.3439407486
59	0.343122351
60	0.3421263944
61	0.341462851
62	0.3409314299
63	0.3404314989
64	0.3397864687
65	0.3392710875
66	0.3388145062
67	0.3384005097
68	0.3376392394
69	0.3370879995
70	0.3366881398
71	0.3361334877
72	0.3357592366
73	0.3353839974
74	0.33502664
75	0.3345950785
76	0.3342458128
77	0.3338567497
78	0.3333297152
79	0.33302833
80	0.332662857
81	0.3320402791
82	0.3316751751
83	0.3313504279
84	0.3309238967
85	0.3305546072
86	0.3302174574
87	0.329758626
88	0.3293303046
89	0.3289365067
90	0.3286730853
91	0.3283029752
92	0.3277922318
93	0.327085383
94	0.326781166
95	0.326443367
96	0.3261667876
97	0.3259919814
98	0.3258672688
99	0.325579292
100	0.325419803
101	0.3251627737
102	0.3248965148
103	0.3245193343
104	0.3241394864
105	0.3238925254
106	0.3236617571
107	0.3233615332
108	0.3231720649
109	0.3229367398
110	0.3226018898
111	0.3222923245
112	0.3219661313
113	0.3217580698
114	0.321449906
115	0.3212766516
116	0.3211264582
117	0.3210004707
118	0.320692577
119	0.3203589877
120	0.3200018123
121	0.3199567496
122	0.3197071497
123	0.31937989
124	0.3190602695
125	0.3188238036
126	0.3184764569
127	0.3182356754
128	0.3180052523
129	0.3178790216
130	0.3174097557
131	0.3172370357
132	0.3170130309
133	0.3167548349
134	0.3167035704
135	0.3165015819
136	0.3164943527
137	0.3162634021
138	0.3158963716
139	0.3156834955
140	0.3154500917
141	0.3152004407
142	0.3149364453
143	0.3147248989
144	0.3145005269
145	0.3143678578
146	0.3141578692
147	0.3140583581
148	0.3140029798
149	0.3137566245
150	0.3135239472
151	0.3133906698
152	0.3130482159
153	0.3130020589
154	0.3127227524
155	0.3124691045
156	0.3123965281
157	0.3121229826
158	0.3119649219
159	0.3118936751
160	0.3117218655
161	0.3117014084
162	0.3116324302
163	0.3115533605
164	0.3112805724
165	0.3111184163
166	0.3108704058
167	0.3107573659
168	0.3107191296
169	0.3106765121
170	0.3106203401
171	0.3103389301
172	0.3102401367
173	0.3101375763
174	0.3098900218
175	0.3097543274
176	0.3096175555
177	0.3094514051
178	0.3092747938
179	0.3091220836
180	0.3090230663
181	0.3089605607
182	0.3087479682
183	0.3087097523
184	0.3086205128
185	0.3085645554
186	0.3083332387
187	0.3082049273
188	0.3080749162
189	0.3079442553
190	0.3077647406
191	0.307679898
192	0.3076298607
193	0.3074979667
194	0.307442761
195	0.3073848459
196	0.3072486091
197	0.307120545
198	0.3068516484
199	0.3068015184
200	0.3066002287
201	0.3064752643
202	0.3063530359
203	0.3062132416
204	0.3059811042
205	0.3058181698
206	0.305773093
207	0.3056241002
208	0.3054336097
209	0.3053972797
210	0.3052505648
211	0.3051809229
212	0.3051617606
213	0.3051172832
214	0.3049341869
215	0.3048273686
216	0.3046845735
217	0.3045427195
218	0.3044098849
219	0.3043149981
220	0.3042558779
221	0.3040977161
222	0.3039370557
223	0.3039044381
224	0.3038092717
225	0.3036749339
226	0.3034807839
227	0.3032908918
228	0.3032018798
229	0.3030866415
230	0.3029014433
231	0.3028267191
232	0.3026919396
233	0.3025484865
234	0.3024104615
235	0.3023461078
236	0.3022536911
237	0.3021809083
238	0.302037066
239	0.3019031538
240	0.3017934734
241	0.3017640329
242	0.3016349838
243	0.301568843
244	0.3015316987
245	0.3014445803
246	0.3013826719
247	0.3011738553
248	0.3011405799
249	0.3010810263
250	0.3009986868
251	0.3008677351
252	0.3006404357
253	0.3004958512
254	0.3003920731
255	0.3003473311
256	0.3001177429
257	0.300066155
258	0.2999160029
259	0.2997615433
260	0.299651698
261	0.2994980968
262	0.2994959569
263	0.2994938317
264	0.2993666255
265	0.2991909404
266	0.2991433543
267	0.2991346703
268	0.2991224637
269	0.2991202733
270	0.2991008685
271	0.2990980063
272	0.2990038208
273	0.2988681642
274	0.2987941262
275	0.2987090138
276	0.2987001134
277	0.2986668149
278	0.2985132141
279	0.2984565957
280	0.2984549529
281	0.2982686101
282	0.2980129821
283	0.2978977527
284	0.2978959224
285	0.2978448092
286	0.2977648221
287	0.2977375194
288	0.2976963907
289	0.2975989716
290	0.2974725027
291	0.2974120529
292	0.2973330266
293	0.2972961819
294	0.2972953953
295	0.2972931124
296	0.2971808183
297	0.2970657887
298	0.2970052172
299	0.2969995244
300	0.2968487199
301	0.2968465953
302	0.2966161565
303	0.2965065435
304	0.2963180051
305	0.296197631
306	0.296088001
307	0.2959887679
308	0.2959005077
309	0.2958424029
310	0.2956795098
311	0.2956602292
312	0.2954466423
313	0.2954253862
314	0.2953004783
315	0.2952981798
316	0.295129129
317	0.2949407702
318	0.2949349073
319	0.2948563935
320	0.294786188
321	0.2945877349
322	0.2944399144
323	0.2943845015
324	0.2943830393
325	0.2942234149
326	0.2941478245
327	0.2940697367
328	0.2940635521
329	0.2940624429
330	0.2938552708
331	0.2938069565
332	0.2937908453
333	0.2936423133
334	0.2936199968
335	0.2934890417
336	0.2933859672
337	0.2932210985
338	0.2932136699
339	0.2931846508
340	0.2931107163
341	0.293027507
342	0.292927981
343	0.2928667977
344	0.2927017871
345	0.2925547762
346	0.2924056844
347	0.2923996988
348	0.2923870073
349	0.2922459575
350	0.2920680426
351	0.2920262293
352	0.2918807553
353	0.2918038129
354	0.291680687
355	0.2916262396
356	0.2915369306
357	0.2915066274
358	0.2914790779
359	0.29140547
360	0.2913109411
361	0.2912636159
362	0.2911414843
363	0.291059495
364	0.2908984445
365	0.2907582493
366	0.2907134479
